title|authors|year|isbn|isbn source file|
Programming and customizing the PIC microcontroller|Michael Predko|2008|9780071472876|isbns-scatolone2.txt|
Digital Control in Power Electronics (Synthesis Lectures on Power Electronics)|Simone Buso|February 11, 2007|9781598291124|isbns-scatolone2.txt|
Power electronics|Ned Mohan|1995|9780471584087|isbns-scatolone2.txt|
Corso di meccanica. Con espansione online. Per gli Ist. tecnici industriali|Cipriano Pidatella, Giampietro Ferrari Aggradi, Delia Pidatella|2009|9788808002969|isbns-scatolone2.txt|
Power Electronics and Variable Frequency Drives|Bimal K. Bose|September 21, 1996|9780780310841|isbns-scatolone2.txt|
UPS. Gruppi di continuità statici e rotanti. Criteri di scelta, schemi, dimensionamento dei circuiti e delle protezioni|Francesco Cocco|2003|9788879332613|isbns-scatolone2.txt|
Matlab per l'ingegneria|William J. Palm|1999|9788838608117|isbns-scatolone2.txt|
Microcontroller cookbook|Mike James|1997|9780750627016|isbns-scatolone2.txt|
Control of electrical drives|Werner Leonhard|2001|9783540418207|isbns-scatolone2.txt|
Microcalcolatori. Progetto di sistemi a microprocessore|Jean-Daniel Nicoud|1990|9788820318130|isbns-scatolone2.txt|
Impianti elettrici per l'industria e le macchine operatrici|Gianfranco Figini, Umberto Torelli|2001|9788820321185|isbns-scatolone2.txt|
Modélisation et commande de la machine asynchrone|Jean-Pierre Caron|1995|9782710806837|isbns-scatolone2.txt|
Controllo ed elaborazione numerica dei segnali con Labview|Armando Zecchi|1999|9788848103442|isbns-scatolone2.txt|
Elettronica di potenza. Convertitori e applicazioni|Vv.Aa.|2021|9788820334284|isbns-scatolone2.txt|
Elementi di macchine e meccatronica. Progettazione dei sistemi tecnici|Rainer Nordmann, Herbert Birkhofer|2006|9788838662065|isbns-scatolone2.txt|
The microcontroller idea book|Jan Axelson|1997|9780965081900|isbns-scatolone2.txt|
Electrician's technical reference.|Robert S. Carrow|2001|9780766819238|isbns-scatolone2.txt|
Embedded systems building blocks|Jean J. Labrosse|1995|9780879304409|isbns-scatolone2.txt|
Digital Logic Techniques|T. J. Stonham|01/11/96|9780412549700|isbns-scatolone2.txt|
Programming and interfacing the 8051 microcontroller|Sencer Yeralan|1993|9780201633658|isbns-scatolone2.txt|
Pic microcontrollers|Milan Verle|2009|9788684417178|isbns-scatolone2.txt|
PIC in practice|D. W. Smith|2002|9780750648127|isbns-scatolone2.txt|
